Erick_Liss,@Beatriz_bih3 batinha da nike
baitmaker,"@foxandfriends @Nike @NFL @GeneralClark @realDonaldTrump @Don_COi That's your opinion, but others will strongly disagree"
spats402,@BreitbartNews @chuckwoolery Perhaps they too want to make millions doing almost nothing as sponsors for Nike.
messiah2kshow,"""Fake Patriotism Continues"" In Kenner, Louisiana aka 1 Street Light Town🤚Mayor Ben Zahn has reportedly banned any city money from being spent on Nike products as of September 5th, according to a private memo that was sent out🤔 Hurricane Season is...  https://www.totalprosports.com/2018/09/09/louisiana-town-bans-purchases-of-all-nike-products-following-colin-kaepernick-decision/ …"
LTL_JayB,I should get sponsored by Nike cause I’m all about a check  pic.twitter.com/O5vjdBzGXs
marcie_mallory,@realDonaldTrump Nike Sales Increase 31% Despite The Colin Kaepernick Ad Backlash
Chupitoelpame7,"@WalshFreedom It's called freedom. Their choice. Anyways, Nike already collected for their uniforms. Thank you for your business...."
ohiobob926,Now we will see the true colors of CK and Nike. I bet they don’t have the guts to accept this womans challenge.  https://twitter.com/DavidJHarrisJr/status/1038936228903628800 …
AndyBeilman,The exact moment you realize you totally forgot about the @Nike Acronym Presto drop on 9/7.  pic.twitter.com/aTH3AI8RNq
motherofbombs,@BetoORourke @PattyLehner @girlsreallyrule @pitchmyWalkman @FavThngs @joebloughed I’m sorry Joe. I’m not ignoring you. I’m watching FOOTBALL.  Got my new Nike Mack jersey in orange.
elofan1276,"@thehill @AlyceLMiller Doesn't matter if Nike is concerned, they did what they needed to do. They didn't want to represent Nike. Their choce."
BrendaGoldenPR,"@AlanaKStewart isn't that the truth. I thought that we were all going to be able to enjoy this season, unlike last season and now BAM! Nike!  When all this goes away, I will still not purchase Nike because of this divisive crap. KEEP THE MAIN THING THE MAIN THING!  FOOTBALL!"
CorbiGoddard,Proud of our High School Swimming Coach!!! 🤩 Had parent meeting tonight and he said that our team will no longer be wearing @Nike...we will be ordering brand new @adidas gear!!! Whatcha think of that @realDonaldTrump 😊
IllyaDailey,Sunday...going through the process...yard (Nike Gear)...Que...Some Gospel and I’m the kitchen with a good game on...the process! trust it...oh whips washed!!! To be continued...#askillya @…  https://www.instagram.com/p/Bnhk-kQhtDF/?utm_source=ig_twitter_share&igshid=m0h9t7scycu5 …
hannah_gersema,So can the people who still like Nike get some discounts? @Nike
vesajanova,Nike Campaign (The Office edition pt.2)  pic.twitter.com/iXxIlDQWZx
BigtimeRy1,"@realDonaldTrump @B52Malmet @CJPatruno They won't for long. I like Adidas anyways, and now Nike is a last resort basically non existentt"
d2f9b1de43d2450,Army Vet Rolls Out New Anti-Nike Clothing Line  https://www.westernjournal.com/just-stand-army-vet-rolls-new-anti-nike-clothing-line/?utm_source=Twitter&utm_medium=MobileFloatingSharingButtons&utm_content=2018-09-09&utm_campaign=websitesharingbuttons …
tkpoliticalbrew,Tiger Woods Speaks Out on Nike’s Kaepernick Ad (The Western Journal)  https://politicallybrewed.com/tiger-woods-speaks-out-on-nikes-kaepernick-ad-western-journal/ … via @Politically Brewed
mhartnett27,nike’s got big dick energy  https://twitter.com/issa___princess/status/1037504052375027712 …
SamanthaSAS,DOWNWARD SPIRAL: Nike’s Value Continues to Plummet Into the BILLIONS Nike went up when Trump was voted in and looks like a huge stock sell off is happening already Monday will kill the company short sellers will be getting in   It will be interesting https://truthfeednews.com/downward-spiral-nikes-value-continues-to-plummet-into-the-billions/ … pic.twitter.com/TyWMGGL6wA
snydez,nyari tau kenapa nike dibakar bakar orang amerikaternyata karena talent nike yg baru adalah atlet football yg ga berklub karena berlutut ketika lagu kebangsaan
